ABC Australia,ABCAustralia.au
Al Jazeera Arabic,aljazeeraarabic.kn
Al Jazeera International,AlJazeeraInternational.kn
Al Quran Al Kareem,AlQuranKareem.id
Animal Planet,AnimalPlanet.id
Animax,AnimaxAsia.sg
ANTV,ANTV.id
Arirang,ArirangWorld.kr
Asian Food Network,AsianFoodNetwork.sg
AXN,AXN.id
Balai Kota Bandung,BalaiKotaBandung
Balai Kota Channel,BalaiKotaChannel
BBC World News,BBCWorldNews.id
Berita Satu,BeritaSatu.id
Berita Satu World,BeritaSatuWorld.id
Berita Satu World HD,BeritaSatuWorldHD.id
Bloomberg,BloombergTVAsia.hk
Cartoon Network,CartoonNetworkAsia.sg
CCTV 4,CCTV4.cn
Celestial Movie,CelestialMovies.cn
Celestial Movie HD,CelestialMovies.cn
CGTN,CGTN.cn
Champions TV 1,ChampionsTV1.id
Champions TV 1 HD,ChampionsTV1.id
Champions TV 2,ChampionsTV2.id
Champions TV 2 HD,ChampionsTV2.id
Champions TV 3,ChampionsTV3.id
Champions TV 3 HD,ChampionsTV3.id
Channel News Asia, CNA.id
Cinemax,Cinemax.id
Cinemax HD,Cinemax.id
CNN International,CNNInternational.id
DAAI TV,DAAITV.id
Discovery Channel,DiscoveryChannel.id
DW Deutsch,DW Deutsch
DW English,DW English
Eternal Word Television Network (EWTN)),ewtn
Euronews,EuronewsEnglish.fr
Eurosport,Eurosport.eu
Eurosport HD,Eurosport.eu
Fashion TV,FashionTV.id
First Atmos HD,FirstAtmos
First Football,FirstFootball
FIRST LIFESTYLE,FIRSTLIFESTYLE.id
First Lifestyle HD,FIRSTLIFESTYLE.id
Fox News,FoxNews.id
France 24,France24.fr
Garuda TV,GarudaTV.id
GEM,GEM.id
GMS Channel,GMSChannel
GTV,GTV.id
HBO,HBO.id
HBO Family,HBOFamily.id
HBO Family HD,HBOFamily.id
HBO HD,HBOHD.id
HBO Hits,HBOHits.id
HBO Hits HD,HBOHits.id
HBO Signature,HBOSignature.id
HBO Signature HD,HBOSignature.id
HITS HD,HITS.id
HITS MOVIES HD,HITSMOVIES.id
HITS NOW HD,HITSNOW.id
IMC,IMC.id
Indosiar,Indosiar.id
iNews,iNews.id
Jakarta Globe News Channel,JakartaGlobeNews.id
Jakarta Globe News Channel HD,JakartaGlobeNews.id
Jakarta TV - Jak TV,JakTV.id
Jawa Pos Media Televisi - JTV,JTV.id
Kairos,Kairos.id
Karaoke,Karaoke.id
KBS World,KBSWorld
Kompas TV,KompasTV.id
Liga Mahasiswa,LigaMahasiswa
Light,Light.id
Metro Globe Network - MGN,MGN.id
Metro TV,MetroTV.id
MNC News,MNCNews.id
MTV Asia,MTVAsia.id
National Geographic Channel,NationalGeographicChannel.id
National Geographic Wild,NationalGeographicWild.id
NET.,NET.id
NHK World Premium,NHK World Premium
Nick jr.,Nick jr.
Nickelodeon,Nickelodeon
O Channel,OChannel.id
ONE,ONE.id
Paramount Network HD,ParamountNetwork.id
Phoenix Chinese Channel,PhoenixChineseChannel
Phoenix Info News,Phoenix Info News
Praise,Praise
Premier Sports,PremierSports
Premier Sports HD,PremierSports
Rai Italia,RaiItalia
Rajawali TV,RajawaliTV.id
Reformed 21,Reformed21.id
Rock Extreme,RockExtreme
Russia Today,RussiaToday
SCTV,SCTV.id
Sekolah Pelita Harapan Channel - SPH,SPH.id
Shenzen TV,Shenzen TV
Shine,Shine
SPOTV,SPOTV.id
SPOTV 2,SPOTV2.id
Star Chinese Channel HD
Star Plus,StarPlus
Sunnah TV,SunnahTV
TBN Asia,TBNAsia
The Learning Channel - TLC,TLC
TRANS 7,Trans7.id
TRANS TV,TransTV.id
TRT World,TRTWorld.tr
TV One,TVOne.id
TV5 Monde,TV5Monde
TV9,TV9Nusantara.id
TVB Xing He
TVBS Asia,TVBS Asia
TVBS News,TVBS News
TVRI Nasional,TVRINasional.id
West Java Network,WestJavaNetwork
Wion,Wion
Zee Action,ZeeAction
Zee Cinema,ZeeCinema
ZEE TV,ZEETV
Zhejiang TV,ZhejiangTV
